operation_id,client_id,operation_type,asset_class,requested_amount,currency,request_date,settlement_date,current_status,current_stage,priority,responsible_team,last_update,completion_date,exception_flag,exception_type,severity,source_system,processing_time_hours,settlement_lead_time_days,sla_status,operational_risk,operation_category
WM00102,CLIENT0070,Asset Transfer - External,ETF,973895.1,USD,2026-09-07 10:16:09.042550,2026-09-08,Validation,Data Validation,Normal,Middle Office,2026-09-08 21:16:09.042550,,False,,,Core Banking,35.0,0.57,Outside SLA,High,In Progress
WM00103,CLIENT0135,Portfolio Rebalancing,Equity,95607.64,USD,2026-08-17 06:40:09.042550,2026-08-18,Completed,Closure,Normal,Reconciliation,2026-08-17 14:40:09.042550,2026-08-20 14:40:09.042550,False,,,Core Banking,8.0,0.72,Within SLA,Low,Completed
WM00104,CLIENT0066,Asset Transfer - Internal,Equity,244368.77,USD,2026-09-13 05:02:09.042550,2026-09-15,Pending Approval,Approval,Medium,Middle Office,2026-09-14 04:02:09.042550,,False,,,Core Banking,23.0,1.79,Within SLA,High,In Progress
WM00105,CLIENT0091,Fund Purchase,ETF,1724219.9,BRL,2026-09-05 04:45:09.042550,2026-09-10,Pending Settlement,Settlement,Medium,Middle Office,2026-09-05 07:45:09.042550,,False,,,Trading Platform,3.0,4.8,Within SLA,High,In Progress
WM00106,CLIENT0107,Asset Transfer - Internal,Mutual Fund,813039.45,USD,2026-09-10 06:49:09.042550,2026-09-14,Completed,Closure,Normal,Settlement,2026-09-12 17:49:09.042550,2026-09-15 13:49:09.042550,False,,,Custody System,59.0,3.72,Outside SLA,High,Completed
WM00107,CLIENT0103,Cash Transfer,Mutual Fund,794554.56,USD,2026-08-16 08:07:09.042550,2026-08-17,Completed,Closure,Normal,Client Operations,2026-08-17 13:07:09.042550,2026-08-18 15:07:09.042550,False,,,Trading Platform,29.0,0.66,Outside SLA,High,Completed
WM00108,CLIENT0090,Asset Transfer - Internal,Fixed Income,476356.35,BRL,2026-08-16 09:53:09.042550,2026-08-17,Completed,Closure,Normal,Client Operations,2026-08-17 11:53:09.042550,2026-08-21 13:53:09.042550,False,,,Core Banking,26.0,0.59,Outside SLA,High,Completed
WM00109,CLIENT0145,Cash Transfer,ETF,1363861.29,USD,2026-09-07 11:17:09.042550,2026-09-09,Reconciled,Reconciliation,Normal,Client Operations,2026-09-08 07:17:09.042550,2026-09-11 19:17:09.042550,False,,,Trading Platform,20.0,1.53,Within SLA,Low,Completed
WM00110,CLIENT0015,Asset Transfer - Internal,Cash,153010.36,USD,2026-08-28 11:32:09.042550,2026-08-31,Received,Request Received,Normal,Middle Office,2026-08-28 16:32:09.042550,,False,,,Core Banking,5.0,2.52,Within SLA,Low,In Progress
WM00111,CLIENT0130,Asset Transfer - External,ETF,1162757.17,BRL,2026-08-23 02:54:09.042550,2026-08-24,Pending Settlement,Settlement,Medium,Middle Office,2026-08-24 03:54:09.042550,,False,,,Trading Platform,25.0,0.88,Outside SLA,High,In Progress
WM00112,CLIENT0022,Cash Transfer,Fixed Income,83088.54,USD,2026-08-30 03:16:09.042550,2026-09-03,Reconciled,Reconciliation,Normal,Middle Office,2026-09-01 23:16:09.042550,2026-08-31 09:16:09.042550,False,,,Custody System,68.0,3.86,Outside SLA,High,Completed
WM00113,CLIENT0087,Portfolio Rebalancing,Cash,109469.21,USD,2026-08-25 07:11:09.042550,2026-08-28,Reconciled,Reconciliation,Normal,Operations,2026-08-27 02:11:09.042550,2026-08-29 14:11:09.042550,False,,,Core Banking,43.0,2.7,Outside SLA,High,Completed
WM00114,CLIENT0021,Cash Transfer,Fixed Income,1833909.18,USD,2026-08-26 05:29:09.042550,2026-08-31,Reconciled,Reconciliation,Normal,Middle Office,2026-08-26 22:29:09.042550,2026-08-28 11:29:09.042550,False,,,Custody System,17.0,4.77,Within SLA,Low,Completed
WM00115,CLIENT0135,Fund Purchase,ETF,1019434.53,BRL,2026-08-16 05:48:09.042550,2026-08-20,Completed,Closure,Normal,Client Operations,2026-08-17 21:48:09.042550,2026-08-19 08:48:09.042550,False,,,Core Banking,40.0,3.76,Outside SLA,High,Completed
WM00116,CLIENT0020,Asset Transfer - Internal,Mutual Fund,1017840.98,BRL,2026-08-24 08:25:09.042550,2026-08-26,Exception,Processing,Critical,Reconciliation,2026-08-25 01:25:09.042550,,True,Asset Position Divergence,Medium,Custody System,17.0,1.65,Within SLA,Critical,Exception
WM00117,CLIENT0043,Portfolio Rebalancing,ETF,92166.39,USD,2026-08-19 04:06:09.042550,2026-08-24,Pending Settlement,Settlement,Medium,Settlement,2026-08-21 13:06:09.042550,,False,,,Custody System,57.0,4.83,Outside SLA,High,In Progress
WM00118,CLIENT0062,Asset Transfer - Internal,ETF,1808428.8,BRL,2026-09-06 08:27:09.042550,2026-09-11,Processing,Processing,Normal,Client Operations,2026-09-08 17:27:09.042550,,False,,,Trading Platform,57.0,4.65,Outside SLA,High,In Progress
WM00119,CLIENT0052,Cash Transfer,Fixed Income,1746638.83,BRL,2026-09-07 07:45:09.042550,2026-09-12,Completed,Closure,Normal,Middle Office,2026-09-09 07:45:09.042550,2026-09-11 10:45:09.042550,False,,,Custody System,48.0,4.68,Outside SLA,High,Completed
WM00120,CLIENT0042,Asset Transfer - Internal,ETF,1811085.89,BRL,2026-09-05 10:07:09.042550,2026-09-06,Exception,Processing,Critical,Operations,2026-09-06 15:07:09.042550,,True,Approval Pending,Low,Trading Platform,29.0,0.58,Outside SLA,Critical,Exception
WM00121,CLIENT0061,Asset Transfer - External,Mutual Fund,752950.78,BRL,2026-09-12 01:39:09.042550,2026-09-13,Completed,Closure,Normal,Client Operations,2026-09-12 14:39:09.042550,2026-09-16 07:39:09.042550,False,,,Custody System,13.0,0.93,Within SLA,Low,Completed
WM00122,CLIENT0036,Portfolio Rebalancing,ETF,899959.94,BRL,2026-09-08 03:21:09.042550,2026-09-09,Completed,Closure,Normal,Operations,2026-09-08 06:21:09.042550,2026-09-11 11:21:09.042550,False,,,Trading Platform,3.0,0.86,Within SLA,Low,Completed
WM00123,CLIENT0136,Asset Transfer - External,Mutual Fund,1553464.4,BRL,2026-08-18 09:59:09.042550,2026-08-23,Pending Approval,Approval,Medium,Client Operations,2026-08-19 01:59:09.042550,,False,,,Core Banking,16.0,4.58,Within SLA,High,In Progress
WM00124,CLIENT0029,Asset Transfer - External,Cash,1074427.3,BRL,2026-09-03 10:42:09.042550,2026-09-04,Pending Approval,Approval,Medium,Settlement,2026-09-05 00:42:09.042550,,False,,,Trading Platform,38.0,0.55,Outside SLA,High,In Progress
WM00125,CLIENT0048,Portfolio Rebalancing,Mutual Fund,1049351.69,USD,2026-08-25 04:49:09.042550,2026-08-29,Received,Request Received,Normal,Operations,2026-08-28 00:49:09.042550,,False,,,Custody System,68.0,3.8,Outside SLA,High,In Progress
WM00126,CLIENT0100,Asset Transfer - Internal,Equity,1495896.6,USD,2026-08-30 09:14:09.042550,2026-09-03,Settled,Settlement,Normal,Operations,2026-09-01 06:14:09.042550,2026-09-03 10:14:09.042550,False,,,Core Banking,45.0,3.62,Outside SLA,High,Completed
WM00127,CLIENT0012,Asset Transfer - Internal,Cash,680401.78,BRL,2026-09-03 03:02:09.042550,2026-09-08,Completed,Closure,Normal,Middle Office,2026-09-05 17:02:09.042550,2026-09-06 06:02:09.042550,False,,,Custody System,62.0,4.87,Outside SLA,High,Completed
WM00128,CLIENT0010,Asset Transfer - Internal,Fixed Income,92393.52,BRL,2026-08-18 02:58:09.042550,2026-08-22,Pending Approval,Approval,Medium,Operations,2026-08-19 19:58:09.042550,,False,,,Trading Platform,41.0,3.88,Outside SLA,High,In Progress
WM00129,CLIENT0074,Asset Transfer - Internal,Mutual Fund,1732267.56,USD,2026-09-09 09:43:09.042550,2026-09-12,Settled,Settlement,Normal,Client Operations,2026-09-10 01:43:09.042550,2026-09-10 13:43:09.042550,False,,,Trading Platform,16.0,2.6,Within SLA,Low,Completed
WM00130,CLIENT0128,Portfolio Rebalancing,ETF,737857.12,USD,2026-08-26 09:10:09.042550,2026-08-30,Settled,Settlement,Normal,Operations,2026-08-28 16:10:09.042550,2026-08-29 12:10:09.042550,False,,,Core Banking,55.0,3.62,Outside SLA,High,Completed
WM00131,CLIENT0021,Asset Transfer - Internal,Equity,616459.23,USD,2026-09-09 03:47:09.042550,2026-09-12,Settled,Settlement,Normal,Settlement,2026-09-11 12:47:09.042550,2026-09-12 05:47:09.042550,False,,,Trading Platform,57.0,2.84,Outside SLA,High,Completed
WM00132,CLIENT0020,Portfolio Rebalancing,ETF,729805.71,BRL,2026-09-06 06:52:09.042550,2026-09-10,Settled,Settlement,Normal,Operations,2026-09-07 01:52:09.042550,2026-09-09 07:52:09.042550,False,,,Custody System,19.0,3.71,Within SLA,Low,Completed
WM00133,CLIENT0093,Asset Transfer - External,Cash,69608.72,BRL,2026-08-28 01:21:09.042550,2026-08-29,Completed,Closure,Normal,Middle Office,2026-08-30 01:21:09.042550,2026-08-30 07:21:09.042550,False,,,Trading Platform,48.0,0.94,Outside SLA,High,Completed
WM00134,CLIENT0081,Portfolio Rebalancing,Equity,502975.25,BRL,2026-08-16 10:21:09.042550,2026-08-21,Settled,Settlement,Normal,Operations,2026-08-17 10:21:09.042550,2026-08-19 17:21:09.042550,False,,,Trading Platform,24.0,4.57,Within SLA,Low,Completed
WM00135,CLIENT0055,Cash Transfer,Equity,1389491.38,USD,2026-09-12 09:20:09.042550,2026-09-15,Settled,Settlement,Normal,Settlement,2026-09-13 01:20:09.042550,2026-09-15 17:20:09.042550,False,,,Core Banking,16.0,2.61,Within SLA,Low,Completed
WM00136,CLIENT0089,Portfolio Rebalancing,Mutual Fund,1102244.31,USD,2026-08-28 04:10:09.042550,2026-09-01,Completed,Closure,Normal,Client Operations,2026-08-29 01:10:09.042550,2026-08-29 10:10:09.042550,False,,,Custody System,21.0,3.83,Within SLA,Low,Completed
WM00137,CLIENT0032,Fund Redemption,Fixed Income,477288.69,USD,2026-09-05 11:24:09.042550,2026-09-08,Completed,Closure,Normal,Operations,2026-09-07 10:24:09.042550,2026-09-10 15:24:09.042550,False,,,Custody System,47.0,2.52,Outside SLA,High,Completed
WM00138,CLIENT0080,Asset Transfer - External,ETF,1053762.83,USD,2026-08-28 09:21:09.042550,2026-09-02,Reconciled,Reconciliation,Normal,Reconciliation,2026-08-28 19:21:09.042550,2026-08-29 11:21:09.042550,False,,,Core Banking,10.0,4.61,Within SLA,Low,Completed
WM00139,CLIENT0033,Cash Transfer,Cash,368016.46,BRL,2026-09-03 02:41:09.042550,2026-09-07,Exception,Processing,Critical,Reconciliation,2026-09-03 10:41:09.042550,,True,System Processing Error,High,Core Banking,8.0,3.89,Within SLA,Critical,Exception
WM00140,CLIENT0133,Asset Transfer - Internal,Mutual Fund,504957.59,USD,2026-08-23 03:23:09.042550,2026-08-26,Settled,Settlement,Normal,Settlement,2026-08-24 18:23:09.042550,2026-08-25 09:23:09.042550,False,,,Custody System,39.0,2.86,Outside SLA,High,Completed
WM00141,CLIENT0044,Portfolio Rebalancing,Cash,1442662.37,USD,2026-08-30 11:23:09.042550,2026-09-04,Reconciled,Reconciliation,Normal,Reconciliation,2026-08-30 17:23:09.042550,2026-09-04 14:23:09.042550,False,,,Core Banking,6.0,4.53,Within SLA,Low,Completed
WM00142,CLIENT0068,Portfolio Rebalancing,Fixed Income,1535083.21,USD,2026-09-13 12:02:09.042550,2026-09-18,Validation,Data Validation,Normal,Reconciliation,2026-09-13 16:02:09.042550,,False,,,Trading Platform,4.0,4.5,Within SLA,Low,In Progress
WM00143,CLIENT0104,Asset Transfer - Internal,ETF,150581.19,BRL,2026-08-31 05:54:09.042550,2026-09-03,Completed,Closure,Normal,Settlement,2026-09-02 14:54:09.042550,2026-09-04 09:54:09.042550,False,,,Trading Platform,57.0,2.75,Outside SLA,High,Completed
WM00144,CLIENT0089,Asset Transfer - External,Fixed Income,1522526.66,BRL,2026-08-20 06:51:09.042550,2026-08-22,Settled,Settlement,Normal,Client Operations,2026-08-21 13:51:09.042550,2026-08-23 12:51:09.042550,False,,,Trading Platform,31.0,1.71,Outside SLA,High,Completed
WM00145,CLIENT0013,Asset Transfer - Internal,ETF,1729006.88,USD,2026-08-28 04:22:09.042550,2026-08-29,Validation,Data Validation,Normal,Settlement,2026-08-29 01:22:09.042550,,False,,,Trading Platform,21.0,0.82,Within SLA,Low,In Progress
WM00146,CLIENT0128,Asset Transfer - Internal,ETF,51236.71,USD,2026-09-06 06:25:09.042550,2026-09-08,Exception,Processing,Critical,Settlement,2026-09-07 10:25:09.042550,,True,Duplicate Request,Critical,Custody System,28.0,1.73,Outside SLA,Critical,Exception
WM00147,CLIENT0121,Asset Transfer - Internal,Cash,21313.92,BRL,2026-08-15 05:44:09.042550,2026-08-20,Processing,Processing,Normal,Middle Office,2026-08-15 23:44:09.042550,,False,,,Trading Platform,18.0,4.76,Within SLA,Low,In Progress
WM00148,CLIENT0146,Cash Transfer,Fixed Income,728234.93,USD,2026-09-07 07:36:09.042550,2026-09-08,Completed,Closure,Normal,Operations,2026-09-09 09:36:09.042550,2026-09-11 08:36:09.042550,False,,,Custody System,50.0,0.68,Outside SLA,High,Completed
WM00149,CLIENT0033,Fund Purchase,ETF,749530.68,USD,2026-08-31 06:05:09.042550,2026-09-05,Settled,Settlement,Normal,Reconciliation,2026-09-02 05:05:09.042550,2026-09-05 08:05:09.042550,False,,,Core Banking,47.0,4.75,Outside SLA,High,Completed
WM00150,CLIENT0012,Fund Purchase,Fixed Income,1428615.73,USD,2026-08-30 07:45:09.042550,2026-08-31,Pending Approval,Approval,Medium,Reconciliation,2026-09-01 18:45:09.042550,,False,,,Core Banking,59.0,0.68,Outside SLA,High,In Progress
WM00151,CLIENT0101,Cash Transfer,Equity,1189480.69,USD,2026-08-30 03:33:09.042550,2026-09-04,Reconciled,Reconciliation,Normal,Reconciliation,2026-08-31 18:33:09.042550,2026-09-02 06:33:09.042550,False,,,Trading Platform,39.0,4.85,Outside SLA,High,Completed
WM00152,CLIENT0007,Cash Transfer,ETF,534733.22,BRL,2026-08-25 06:56:09.042550,2026-08-26,Completed,Closure,Normal,Operations,2026-08-27 20:56:09.042550,2026-08-29 11:56:09.042550,False,,,Core Banking,62.0,0.71,Outside SLA,High,Completed
WM00153,CLIENT0009,Cash Transfer,Mutual Fund,385614.73,USD,2026-09-06 11:02:09.042550,2026-09-10,Settled,Settlement,Normal,Client Operations,2026-09-08 17:02:09.042550,2026-09-08 15:02:09.042550,False,,,Core Banking,54.0,3.54,Outside SLA,High,Completed
WM00154,CLIENT0036,Cash Transfer,Fixed Income,1123969.11,USD,2026-08-20 07:45:09.042550,2026-08-25,Settled,Settlement,Normal,Reconciliation,2026-08-22 08:45:09.042550,2026-08-24 08:45:09.042550,False,,,Trading Platform,49.0,4.68,Outside SLA,High,Completed
WM00155,CLIENT0124,Fund Redemption,Fixed Income,561617.76,USD,2026-08-28 09:34:09.042550,2026-09-02,Exception,Processing,High,Client Operations,2026-08-29 22:34:09.042550,,True,Invalid Instruction,High,Custody System,37.0,4.6,Outside SLA,Critical,Exception
WM00156,CLIENT0090,Cash Transfer,Equity,579139.8,USD,2026-09-05 08:33:09.042550,2026-09-09,Pending Approval,Approval,Medium,Middle Office,2026-09-07 05:33:09.042550,,False,,,Core Banking,45.0,3.64,Outside SLA,High,In Progress
WM00157,CLIENT0066,Portfolio Rebalancing,ETF,431903.68,USD,2026-08-23 02:35:09.042550,2026-08-27,Processing,Processing,Normal,Reconciliation,2026-08-24 13:35:09.042550,,False,,,Core Banking,35.0,3.89,Outside SLA,High,In Progress
WM00158,CLIENT0013,Portfolio Rebalancing,Cash,455214.93,BRL,2026-09-06 10:28:09.042550,2026-09-08,Validation,Data Validation,Normal,Operations,2026-09-06 23:28:09.042550,,False,,,Trading Platform,13.0,1.56,Within SLA,Low,In Progress
WM00159,CLIENT0002,Cash Transfer,Fixed Income,816780.37,USD,2026-08-29 02:56:09.042550,2026-08-31,Processing,Processing,Normal,Middle Office,2026-08-30 04:56:09.042550,,False,,,Trading Platform,26.0,1.88,Outside SLA,High,In Progress
WM00160,CLIENT0147,Fund Redemption,Cash,1478679.61,BRL,2026-09-03 02:11:09.042550,2026-09-04,Processing,Processing,Normal,Settlement,2026-09-05 08:11:09.042550,,False,,,Core Banking,54.0,0.91,Outside SLA,High,In Progress
WM00161,CLIENT0010,Fund Purchase,Equity,1138083.93,BRL,2026-08-15 08:03:09.042550,2026-08-19,Exception,Processing,Critical,Client Operations,2026-08-17 19:03:09.042550,,True,Asset Position Divergence,High,Custody System,59.0,3.66,Outside SLA,Critical,Exception
WM00162,CLIENT0050,Fund Purchase,Equity,329176.05,USD,2026-08-29 04:07:09.042550,2026-09-03,Reconciled,Reconciliation,Normal,Client Operations,2026-08-30 04:07:09.042550,2026-09-02 09:07:09.042550,False,,,Core Banking,24.0,4.83,Within SLA,Low,Completed
WM00163,CLIENT0110,Cash Transfer,Equity,178041.85,BRL,2026-09-08 05:49:09.042550,2026-09-10,Completed,Closure,Normal,Settlement,2026-09-08 23:49:09.042550,2026-09-10 12:49:09.042550,False,,,Trading Platform,18.0,1.76,Within SLA,Low,Completed
WM00164,CLIENT0061,Asset Transfer - External,Equity,1908299.47,USD,2026-08-21 01:29:09.042550,2026-08-25,Processing,Processing,Normal,Reconciliation,2026-08-21 03:29:09.042550,,False,,,Trading Platform,2.0,3.94,Within SLA,Low,In Progress
WM00165,CLIENT0041,Asset Transfer - External,Cash,1846596.5,USD,2026-09-05 04:16:09.042550,2026-09-06,Completed,Closure,Normal,Operations,2026-09-06 18:16:09.042550,2026-09-09 09:16:09.042550,False,,,Trading Platform,38.0,0.82,Outside SLA,High,Completed
WM00166,CLIENT0107,Portfolio Rebalancing,Cash,1826029.79,BRL,2026-08-21 03:43:09.042550,2026-08-23,Completed,Closure,Normal,Settlement,2026-08-21 14:43:09.042550,2026-08-25 09:43:09.042550,False,,,Custody System,11.0,1.85,Within SLA,Low,Completed
WM00167,CLIENT0141,Cash Transfer,Fixed Income,1147539.84,BRL,2026-09-05 06:17:09.042550,2026-09-10,Settled,Settlement,Normal,Settlement,2026-09-07 00:17:09.042550,2026-09-06 07:17:09.042550,False,,,Custody System,42.0,4.74,Outside SLA,High,Completed
WM00168,CLIENT0131,Asset Transfer - External,Mutual Fund,909597.44,USD,2026-09-04 04:58:09.042550,2026-09-09,Settled,Settlement,Normal,Middle Office,2026-09-04 12:58:09.042550,2026-09-08 06:58:09.042550,False,,,Custody System,8.0,4.79,Within SLA,Low,Completed
WM00169,CLIENT0001,Portfolio Rebalancing,Fixed Income,1158730.97,BRL,2026-09-08 05:59:09.042550,2026-09-09,Settled,Settlement,Normal,Middle Office,2026-09-10 02:59:09.042550,2026-09-12 10:59:09.042550,False,,,Custody System,45.0,0.75,Outside SLA,High,Completed
WM00170,CLIENT0009,Asset Transfer - Internal,ETF,364062.75,BRL,2026-08-15 03:12:09.042550,2026-08-19,Received,Request Received,Normal,Middle Office,2026-08-17 03:12:09.042550,,False,,,Trading Platform,48.0,3.87,Outside SLA,High,In Progress
WM00171,CLIENT0090,Fund Purchase,Fixed Income,1985729.32,USD,2026-09-12 07:37:09.042550,2026-09-13,Settled,Settlement,Normal,Reconciliation,2026-09-13 00:37:09.042550,2026-09-17 10:37:09.042550,False,,,Custody System,17.0,0.68,Within SLA,Low,Completed
WM00172,CLIENT0140,Asset Transfer - External,Cash,761656.55,BRL,2026-09-09 02:01:09.042550,2026-09-10,Exception,Processing,High,Middle Office,2026-09-10 23:01:09.042550,,True,Approval Pending,Critical,Core Banking,45.0,0.92,Outside SLA,Critical,Exception
WM00173,CLIENT0005,Fund Redemption,Fixed Income,139245.35,BRL,2026-09-12 02:15:09.042550,2026-09-16,Processing,Processing,Normal,Middle Office,2026-09-12 09:15:09.042550,,False,,,Core Banking,7.0,3.91,Within SLA,Low,In Progress
WM00174,CLIENT0036,Cash Transfer,Equity,472152.23,USD,2026-08-26 08:27:09.042550,2026-08-31,Completed,Closure,Normal,Reconciliation,2026-08-28 02:27:09.042550,2026-08-28 09:27:09.042550,False,,,Core Banking,42.0,4.65,Outside SLA,High,Completed
WM00175,CLIENT0106,Asset Transfer - Internal,Equity,126610.49,BRL,2026-08-18 11:46:09.042550,2026-08-20,Processing,Processing,Normal,Middle Office,2026-08-21 11:46:09.042550,,False,,,Trading Platform,72.0,1.51,Outside SLA,High,In Progress
WM00176,CLIENT0135,Asset Transfer - Internal,ETF,819477.06,USD,2026-08-25 11:55:09.042550,2026-08-29,Received,Request Received,Normal,Middle Office,2026-08-26 11:55:09.042550,,False,,,Custody System,24.0,3.5,Within SLA,Low,In Progress
WM00177,CLIENT0144,Asset Transfer - External,ETF,1116787.08,BRL,2026-09-10 04:32:09.042550,2026-09-12,Settled,Settlement,Normal,Middle Office,2026-09-11 12:32:09.042550,2026-09-14 05:32:09.042550,False,,,Trading Platform,32.0,1.81,Outside SLA,High,Completed
WM00178,CLIENT0095,Fund Purchase,Cash,1450546.5,BRL,2026-09-03 03:12:09.042550,2026-09-07,Pending Approval,Approval,Medium,Operations,2026-09-04 14:12:09.042550,,False,,,Trading Platform,35.0,3.87,Outside SLA,High,In Progress
WM00179,CLIENT0123,Fund Redemption,Equity,609860.11,BRL,2026-09-02 02:08:09.042550,2026-09-03,Completed,Closure,Normal,Settlement,2026-09-03 03:08:09.042550,2026-09-04 06:08:09.042550,False,,,Custody System,25.0,0.91,Outside SLA,High,Completed
WM00180,CLIENT0053,Asset Transfer - External,Fixed Income,1106398.19,USD,2026-09-07 09:11:09.042550,2026-09-09,Validation,Data Validation,Normal,Middle Office,2026-09-09 21:11:09.042550,,False,,,Custody System,60.0,1.62,Outside SLA,High,In Progress
WM00181,CLIENT0026,Portfolio Rebalancing,ETF,1524449.79,USD,2026-08-23 05:36:09.042550,2026-08-28,Completed,Closure,Normal,Settlement,2026-08-25 05:36:09.042550,2026-08-27 13:36:09.042550,False,,,Trading Platform,48.0,4.77,Outside SLA,High,Completed
WM00182,CLIENT0142,Cash Transfer,Cash,1441423.82,USD,2026-09-01 05:00:09.042550,2026-09-03,Settled,Settlement,Normal,Settlement,2026-09-02 07:00:09.042550,2026-09-02 10:00:09.042550,False,,,Trading Platform,26.0,1.79,Outside SLA,High,Completed
WM00183,CLIENT0087,Asset Transfer - Internal,ETF,1933183.99,USD,2026-09-01 04:44:09.042550,2026-09-06,Pending Approval,Approval,Medium,Middle Office,2026-09-02 02:44:09.042550,,False,,,Custody System,22.0,4.8,Within SLA,High,In Progress
WM00184,CLIENT0139,Portfolio Rebalancing,Mutual Fund,1050269.11,BRL,2026-08-19 03:59:09.042550,2026-08-24,Completed,Closure,Normal,Operations,2026-08-19 04:59:09.042550,2026-08-23 06:59:09.042550,False,,,Trading Platform,1.0,4.83,Within SLA,Low,Completed
WM00185,CLIENT0003,Fund Redemption,Cash,914739.27,BRL,2026-09-03 04:17:09.042550,2026-09-05,Validation,Data Validation,Normal,Reconciliation,2026-09-05 18:17:09.042550,,False,,,Custody System,62.0,1.82,Outside SLA,High,In Progress
WM00186,CLIENT0136,Portfolio Rebalancing,Equity,1073797.52,USD,2026-08-14 09:48:09.042550,2026-08-18,Settled,Settlement,Normal,Operations,2026-08-17 02:48:09.042550,2026-08-15 10:48:09.042550,False,,,Custody System,65.0,3.59,Outside SLA,High,Completed
WM00187,CLIENT0062,Fund Redemption,Cash,1055279.69,USD,2026-09-08 03:19:09.042550,2026-09-09,Completed,Closure,Normal,Client Operations,2026-09-10 06:19:09.042550,2026-09-13 06:19:09.042550,False,,,Core Banking,51.0,0.86,Outside SLA,High,Completed
WM00188,CLIENT0058,Asset Transfer - Internal,Mutual Fund,1309202.76,BRL,2026-08-26 08:49:09.042550,2026-08-28,Pending Settlement,Settlement,Medium,Operations,2026-08-28 12:49:09.042550,,False,,,Trading Platform,52.0,1.63,Outside SLA,High,In Progress
WM00189,CLIENT0044,Fund Purchase,ETF,1691432.94,USD,2026-08-29 01:53:09.042550,2026-08-30,Pending Settlement,Settlement,Medium,Reconciliation,2026-08-29 14:53:09.042550,,False,,,Custody System,13.0,0.92,Within SLA,High,In Progress
WM00190,CLIENT0012,Fund Purchase,Equity,1799126.74,BRL,2026-08-21 05:10:09.042550,2026-08-26,Completed,Closure,Normal,Settlement,2026-08-22 22:10:09.042550,2026-08-25 10:10:09.042550,False,,,Core Banking,41.0,4.78,Outside SLA,High,Completed
WM00191,CLIENT0042,Cash Transfer,Fixed Income,1135558.36,USD,2026-09-01 04:01:09.042550,2026-09-05,Exception,Processing,Critical,Middle Office,2026-09-01 22:01:09.042550,,True,Account Data Mismatch,High,Custody System,18.0,3.83,Within SLA,Critical,Exception
WM00192,CLIENT0020,Asset Transfer - Internal,Cash,1539166.28,USD,2026-08-30 06:16:09.042550,2026-08-31,Completed,Closure,Normal,Client Operations,2026-08-30 10:16:09.042550,2026-09-03 10:16:09.042550,False,,,Custody System,4.0,0.74,Within SLA,Low,Completed
WM00193,CLIENT0142,Asset Transfer - External,ETF,375547.0,USD,2026-08-28 08:27:09.042550,2026-08-31,Processing,Processing,Normal,Operations,2026-08-29 22:27:09.042550,,False,,,Core Banking,38.0,2.65,Outside SLA,High,In Progress
WM00194,CLIENT0082,Asset Transfer - Internal,Mutual Fund,187583.26,USD,2026-08-16 05:22:09.042550,2026-08-20,Completed,Closure,Normal,Middle Office,2026-08-18 04:22:09.042550,2026-08-18 12:22:09.042550,False,,,Trading Platform,47.0,3.78,Outside SLA,High,Completed
WM00195,CLIENT0143,Cash Transfer,Cash,819048.13,BRL,2026-08-16 03:40:09.042550,2026-08-20,Validation,Data Validation,Normal,Operations,2026-08-18 01:40:09.042550,,False,,,Custody System,46.0,3.85,Outside SLA,High,In Progress
WM00196,CLIENT0004,Asset Transfer - Internal,ETF,778660.12,BRL,2026-09-02 07:08:09.042550,2026-09-06,Validation,Data Validation,Normal,Reconciliation,2026-09-03 15:08:09.042550,,False,,,Custody System,32.0,3.7,Outside SLA,High,In Progress
WM00197,CLIENT0069,Asset Transfer - External,Fixed Income,131217.96,USD,2026-09-04 07:23:09.042550,2026-09-06,Settled,Settlement,Normal,Client Operations,2026-09-06 13:23:09.042550,2026-09-07 12:23:09.042550,False,,,Trading Platform,54.0,1.69,Outside SLA,High,Completed
WM00198,CLIENT0118,Fund Purchase,Fixed Income,612792.7,USD,2026-08-16 06:29:09.042550,2026-08-18,Settled,Settlement,Normal,Client Operations,2026-08-18 07:29:09.042550,2026-08-20 10:29:09.042550,False,,,Trading Platform,49.0,1.73,Outside SLA,High,Completed
WM00199,CLIENT0052,Asset Transfer - External,Equity,359386.36,USD,2026-08-27 11:51:09.042550,2026-08-29,Settled,Settlement,Normal,Client Operations,2026-08-29 01:51:09.042550,2026-08-30 17:51:09.042550,False,,,Custody System,38.0,1.51,Outside SLA,High,Completed
WM00200,CLIENT0072,Asset Transfer - External,Equity,232206.21,BRL,2026-08-29 11:03:09.042550,2026-08-31,Completed,Closure,Normal,Reconciliation,2026-09-01 09:03:09.042550,2026-09-01 18:03:09.042550,False,,,Core Banking,70.0,1.54,Outside SLA,High,Completed
WM00201,CLIENT0075,Portfolio Rebalancing,Mutual Fund,1638836.31,USD,2026-08-31 01:59:09.042550,2026-09-04,Completed,Closure,Normal,Middle Office,2026-08-31 19:59:09.042550,2026-09-02 09:59:09.042550,False,,,Custody System,18.0,3.92,Within SLA,Low,Completed
WM00202,CLIENT0097,Fund Purchase,ETF,1981447.73,USD,2026-08-22 11:22:09.042550,2026-08-26,Processing,Processing,Normal,Reconciliation,2026-08-24 15:22:09.042550,,False,,,Custody System,52.0,3.53,Outside SLA,High,In Progress
