operation_id,client_id,operation_type,asset_class,requested_amount,currency,request_date,settlement_date,current_status,current_stage,priority,responsible_team,last_update,completion_date,exception_flag,exception_type,severity,source_system,processing_time_hours,settlement_lead_time_days,sla_status,operational_risk,operation_category,expected_amount,processed_amount,expected_status,external_status,difference_amount,reconciliation_status
WM00083,CLIENT0120,Fund Purchase,Fixed Income,1509532.23,BRL,2026-08-22 09:04:09.042550,2026-08-25,Completed,Closure,Normal,Middle Office,2026-08-25 09:04:09.042550,2026-08-25 11:04:09.042550,False,,,Trading Platform,72.0,2.62,Outside SLA,High,Completed,1509532.23,1485208.15,Completed,Completed,24324.08,Amount Difference
WM00084,CLIENT0032,Asset Transfer - External,Equity,1347292.62,USD,2026-08-26 01:29:09.042550,2026-08-31,Validation,Data Validation,Normal,Reconciliation,2026-08-28 02:29:09.042550,,False,,,Custody System,49.0,4.94,Outside SLA,High,In Progress,1347292.62,1347292.62,Validation,Validation,0.0,Matched
WM00085,CLIENT0057,Portfolio Rebalancing,Mutual Fund,1272630.83,USD,2026-08-17 11:27:09.042550,2026-08-21,Exception,Processing,Critical,Middle Office,2026-08-18 02:27:09.042550,,True,Missing Documentation,High,Core Banking,15.0,3.52,Within SLA,Critical,Exception,1272630.83,1272630.83,Exception,Exception,0.0,Matched
WM00086,CLIENT0025,Fund Redemption,Cash,275649.78,USD,2026-08-15 05:44:09.042550,2026-08-16,Received,Request Received,Normal,Client Operations,2026-08-18 03:44:09.042550,,False,,,Trading Platform,70.0,0.76,Outside SLA,High,In Progress,275649.78,275649.78,Received,Received,0.0,Matched
WM00087,CLIENT0105,Asset Transfer - Internal,Mutual Fund,1382109.92,BRL,2026-09-06 04:09:09.042550,2026-09-10,Reconciled,Reconciliation,Normal,Middle Office,2026-09-08 13:09:09.042550,2026-09-07 12:09:09.042550,False,,,Core Banking,57.0,3.83,Outside SLA,High,Completed,1382109.92,1382109.92,Reconciled,Reconciled,0.0,Matched
WM00088,CLIENT0102,Asset Transfer - Internal,Fixed Income,1936572.72,USD,2026-08-17 11:36:09.042550,2026-08-22,Completed,Closure,Normal,Operations,2026-08-18 15:36:09.042550,2026-08-20 12:36:09.042550,False,,,Custody System,28.0,4.52,Outside SLA,High,Completed,1936572.72,1936572.72,Completed,Completed,0.0,Matched
WM00089,CLIENT0145,Fund Redemption,Mutual Fund,1660486.59,BRL,2026-08-14 02:03:09.042550,2026-08-17,Completed,Closure,Normal,Reconciliation,2026-08-15 06:03:09.042550,2026-08-16 05:03:09.042550,False,,,Core Banking,28.0,2.91,Outside SLA,High,Completed,1660486.59,1660486.59,Completed,Completed,0.0,Matched
WM00090,CLIENT0038,Fund Redemption,Cash,505055.12,BRL,2026-08-18 10:13:09.042550,2026-08-21,Processing,Processing,Normal,Operations,2026-08-18 14:13:09.042550,,False,,,Core Banking,4.0,2.57,Within SLA,Low,In Progress,505055.12,505055.12,Processing,Processing,0.0,Matched
WM00091,CLIENT0005,Fund Redemption,Equity,109536.04,USD,2026-09-08 04:50:09.042550,2026-09-11,Received,Request Received,Normal,Reconciliation,2026-09-08 19:50:09.042550,,False,,,Custody System,15.0,2.8,Within SLA,Low,In Progress,109536.04,109536.04,Received,Received,0.0,Matched
WM00092,CLIENT0028,Asset Transfer - External,Cash,446991.76,BRL,2026-08-28 06:45:09.042550,2026-09-02,Received,Request Received,Normal,Reconciliation,2026-08-29 21:45:09.042550,,False,,,Trading Platform,39.0,4.72,Outside SLA,High,In Progress,446991.76,446991.76,Received,Exception,0.0,Status Difference
WM00093,CLIENT0126,Portfolio Rebalancing,ETF,151613.98,BRL,2026-08-14 01:43:09.042550,2026-08-18,Completed,Closure,Normal,Client Operations,2026-08-14 20:43:09.042550,2026-08-18 03:43:09.042550,False,,,Core Banking,19.0,3.93,Within SLA,Low,Completed,151613.98,151613.98,Completed,Completed,0.0,Matched
WM00094,CLIENT0084,Asset Transfer - External,Cash,1063460.89,USD,2026-09-02 11:50:09.042550,2026-09-07,Validation,Data Validation,Normal,Reconciliation,2026-09-04 19:50:09.042550,,False,,,Core Banking,56.0,4.51,Outside SLA,High,In Progress,1063460.89,1063460.89,Validation,Validation,0.0,Matched
WM00095,CLIENT0116,Fund Redemption,ETF,681168.58,USD,2026-08-17 11:54:09.042550,2026-08-22,Completed,Closure,Normal,Middle Office,2026-08-19 17:54:09.042550,2026-08-19 18:54:09.042550,False,,,Custody System,54.0,4.5,Outside SLA,High,Completed,681168.58,681168.58,Completed,Completed,0.0,Matched
WM00096,CLIENT0096,Fund Redemption,ETF,138930.95,BRL,2026-08-27 06:55:09.042550,2026-08-30,Validation,Data Validation,Normal,Operations,2026-08-29 14:55:09.042550,,False,,,Core Banking,56.0,2.71,Outside SLA,High,In Progress,138930.95,138930.95,Validation,Validation,0.0,Matched
WM00097,CLIENT0032,Asset Transfer - External,Equity,1747846.71,USD,2026-08-25 03:48:09.042550,2026-08-26,Completed,Closure,Normal,Operations,2026-08-26 16:48:09.042550,2026-08-30 09:48:09.042550,False,,,Custody System,37.0,0.84,Outside SLA,High,Completed,1747846.71,1747846.71,Completed,Completed,0.0,Matched
WM00098,CLIENT0040,Portfolio Rebalancing,ETF,452368.51,BRL,2026-08-17 10:45:09.042550,2026-08-19,Processing,Processing,Normal,Client Operations,2026-08-20 10:45:09.042550,,False,,,Trading Platform,72.0,1.55,Outside SLA,High,In Progress,452368.51,452368.51,Processing,Processing,0.0,Matched
WM00099,CLIENT0144,Cash Transfer,Cash,1351578.54,BRL,2026-08-22 10:27:09.042550,2026-08-26,Validation,Data Validation,Normal,Reconciliation,2026-08-23 21:27:09.042550,,False,,,Core Banking,35.0,3.56,Outside SLA,High,In Progress,1351578.54,1351578.54,Validation,Validation,0.0,Matched
WM00100,CLIENT0090,Fund Purchase,Fixed Income,1740376.1,USD,2026-09-05 06:11:09.042550,2026-09-08,Pending Approval,Approval,Medium,Operations,2026-09-06 01:11:09.042550,,False,,,Custody System,19.0,2.74,Within SLA,High,In Progress,1740376.1,1740376.1,Pending Approval,Pending Approval,0.0,Matched
WM00101,CLIENT0108,Asset Transfer - External,Equity,319031.51,USD,2026-08-14 03:00:09.042550,2026-08-19,Completed,Closure,Normal,Client Operations,2026-08-14 14:00:09.042550,2026-08-16 10:00:09.042550,False,,,Core Banking,11.0,4.87,Within SLA,Low,Completed,319031.51,319031.51,Completed,Exception,0.0,Status Difference
WM00102,CLIENT0070,Asset Transfer - External,ETF,973895.1,USD,2026-09-07 10:16:09.042550,2026-09-08,Validation,Data Validation,Normal,Middle Office,2026-09-08 21:16:09.042550,,False,,,Core Banking,35.0,0.57,Outside SLA,High,In Progress,973895.1,973895.1,Validation,Validation,0.0,Matched
WM00103,CLIENT0135,Portfolio Rebalancing,Equity,95607.64,USD,2026-08-17 06:40:09.042550,2026-08-18,Completed,Closure,Normal,Reconciliation,2026-08-17 14:40:09.042550,2026-08-20 14:40:09.042550,False,,,Core Banking,8.0,0.72,Within SLA,Low,Completed,95607.64,95607.64,Completed,Completed,0.0,Matched
WM00104,CLIENT0066,Asset Transfer - Internal,Equity,244368.77,USD,2026-09-13 05:02:09.042550,2026-09-15,Pending Approval,Approval,Medium,Middle Office,2026-09-14 04:02:09.042550,,False,,,Core Banking,23.0,1.79,Within SLA,High,In Progress,244368.77,244368.77,Pending Approval,Pending Approval,0.0,Matched
WM00105,CLIENT0091,Fund Purchase,ETF,1724219.9,BRL,2026-09-05 04:45:09.042550,2026-09-10,Pending Settlement,Settlement,Medium,Middle Office,2026-09-05 07:45:09.042550,,False,,,Trading Platform,3.0,4.8,Within SLA,High,In Progress,1724219.9,1724219.9,Pending Settlement,Exception,0.0,Status Difference
WM00106,CLIENT0107,Asset Transfer - Internal,Mutual Fund,813039.45,USD,2026-09-10 06:49:09.042550,2026-09-14,Completed,Closure,Normal,Settlement,2026-09-12 17:49:09.042550,2026-09-15 13:49:09.042550,False,,,Custody System,59.0,3.72,Outside SLA,High,Completed,813039.45,813039.45,Completed,Completed,0.0,Matched
WM00107,CLIENT0103,Cash Transfer,Mutual Fund,794554.56,USD,2026-08-16 08:07:09.042550,2026-08-17,Completed,Closure,Normal,Client Operations,2026-08-17 13:07:09.042550,2026-08-18 15:07:09.042550,False,,,Trading Platform,29.0,0.66,Outside SLA,High,Completed,794554.56,794554.56,Completed,Completed,0.0,Matched
WM00108,CLIENT0090,Asset Transfer - Internal,Fixed Income,476356.35,BRL,2026-08-16 09:53:09.042550,2026-08-17,Completed,Closure,Normal,Client Operations,2026-08-17 11:53:09.042550,2026-08-21 13:53:09.042550,False,,,Core Banking,26.0,0.59,Outside SLA,High,Completed,476356.35,476356.35,Completed,Completed,0.0,Matched
WM00109,CLIENT0145,Cash Transfer,ETF,1363861.29,USD,2026-09-07 11:17:09.042550,2026-09-09,Reconciled,Reconciliation,Normal,Client Operations,2026-09-08 07:17:09.042550,2026-09-11 19:17:09.042550,False,,,Trading Platform,20.0,1.53,Within SLA,Low,Completed,1363861.29,1363861.29,Reconciled,Reconciled,0.0,Matched
WM00110,CLIENT0015,Asset Transfer - Internal,Cash,153010.36,USD,2026-08-28 11:32:09.042550,2026-08-31,Received,Request Received,Normal,Middle Office,2026-08-28 16:32:09.042550,,False,,,Core Banking,5.0,2.52,Within SLA,Low,In Progress,153010.36,153010.36,Received,Received,0.0,Matched
WM00111,CLIENT0130,Asset Transfer - External,ETF,1162757.17,BRL,2026-08-23 02:54:09.042550,2026-08-24,Pending Settlement,Settlement,Medium,Middle Office,2026-08-24 03:54:09.042550,,False,,,Trading Platform,25.0,0.88,Outside SLA,High,In Progress,1162757.17,1162757.17,Pending Settlement,Pending Settlement,0.0,Matched
WM00112,CLIENT0022,Cash Transfer,Fixed Income,83088.54,USD,2026-08-30 03:16:09.042550,2026-09-03,Reconciled,Reconciliation,Normal,Middle Office,2026-09-01 23:16:09.042550,2026-08-31 09:16:09.042550,False,,,Custody System,68.0,3.86,Outside SLA,High,Completed,83088.54,83088.54,Reconciled,Reconciled,0.0,Matched
WM00113,CLIENT0087,Portfolio Rebalancing,Cash,109469.21,USD,2026-08-25 07:11:09.042550,2026-08-28,Reconciled,Reconciliation,Normal,Operations,2026-08-27 02:11:09.042550,2026-08-29 14:11:09.042550,False,,,Core Banking,43.0,2.7,Outside SLA,High,Completed,109469.21,109469.21,Reconciled,Reconciled,0.0,Matched
WM00114,CLIENT0021,Cash Transfer,Fixed Income,1833909.18,USD,2026-08-26 05:29:09.042550,2026-08-31,Reconciled,Reconciliation,Normal,Middle Office,2026-08-26 22:29:09.042550,2026-08-28 11:29:09.042550,False,,,Custody System,17.0,4.77,Within SLA,Low,Completed,1833909.18,1833909.18,Reconciled,Reconciled,0.0,Matched
WM00115,CLIENT0135,Fund Purchase,ETF,1019434.53,BRL,2026-08-16 05:48:09.042550,2026-08-20,Completed,Closure,Normal,Client Operations,2026-08-17 21:48:09.042550,2026-08-19 08:48:09.042550,False,,,Core Banking,40.0,3.76,Outside SLA,High,Completed,1019434.53,1019434.53,Completed,Completed,0.0,Matched
WM00116,CLIENT0020,Asset Transfer - Internal,Mutual Fund,1017840.98,BRL,2026-08-24 08:25:09.042550,2026-08-26,Exception,Processing,Critical,Reconciliation,2026-08-25 01:25:09.042550,,True,Asset Position Divergence,Medium,Custody System,17.0,1.65,Within SLA,Critical,Exception,1017840.98,1017840.98,Exception,Exception,0.0,Matched
WM00117,CLIENT0043,Portfolio Rebalancing,ETF,92166.39,USD,2026-08-19 04:06:09.042550,2026-08-24,Pending Settlement,Settlement,Medium,Settlement,2026-08-21 13:06:09.042550,,False,,,Custody System,57.0,4.83,Outside SLA,High,In Progress,92166.39,92166.39,Pending Settlement,Processing,0.0,Status Difference
WM00118,CLIENT0062,Asset Transfer - Internal,ETF,1808428.8,BRL,2026-09-06 08:27:09.042550,2026-09-11,Processing,Processing,Normal,Client Operations,2026-09-08 17:27:09.042550,,False,,,Trading Platform,57.0,4.65,Outside SLA,High,In Progress,1808428.8,1808428.8,Processing,Processing,0.0,Matched
WM00119,CLIENT0052,Cash Transfer,Fixed Income,1746638.83,BRL,2026-09-07 07:45:09.042550,2026-09-12,Completed,Closure,Normal,Middle Office,2026-09-09 07:45:09.042550,2026-09-11 10:45:09.042550,False,,,Custody System,48.0,4.68,Outside SLA,High,Completed,1746638.83,1746638.83,Completed,Completed,0.0,Matched
WM00120,CLIENT0042,Asset Transfer - Internal,ETF,1811085.89,BRL,2026-09-05 10:07:09.042550,2026-09-06,Exception,Processing,Critical,Operations,2026-09-06 15:07:09.042550,,True,Approval Pending,Low,Trading Platform,29.0,0.58,Outside SLA,Critical,Exception,1811085.89,1811085.89,Exception,Exception,0.0,Matched
WM00121,CLIENT0061,Asset Transfer - External,Mutual Fund,752950.78,BRL,2026-09-12 01:39:09.042550,2026-09-13,Completed,Closure,Normal,Client Operations,2026-09-12 14:39:09.042550,2026-09-16 07:39:09.042550,False,,,Custody System,13.0,0.93,Within SLA,Low,Completed,752950.78,752950.78,Completed,Completed,0.0,Matched
WM00122,CLIENT0036,Portfolio Rebalancing,ETF,899959.94,BRL,2026-09-08 03:21:09.042550,2026-09-09,Completed,Closure,Normal,Operations,2026-09-08 06:21:09.042550,2026-09-11 11:21:09.042550,False,,,Trading Platform,3.0,0.86,Within SLA,Low,Completed,899959.94,899959.94,Completed,Completed,0.0,Matched
WM00123,CLIENT0136,Asset Transfer - External,Mutual Fund,1553464.4,BRL,2026-08-18 09:59:09.042550,2026-08-23,Pending Approval,Approval,Medium,Client Operations,2026-08-19 01:59:09.042550,,False,,,Core Banking,16.0,4.58,Within SLA,High,In Progress,1553464.4,1553464.4,Pending Approval,Pending Approval,0.0,Matched
WM00124,CLIENT0029,Asset Transfer - External,Cash,1074427.3,BRL,2026-09-03 10:42:09.042550,2026-09-04,Pending Approval,Approval,Medium,Settlement,2026-09-05 00:42:09.042550,,False,,,Trading Platform,38.0,0.55,Outside SLA,High,In Progress,,,,,0.0,Missing in External System
WM00125,CLIENT0048,Portfolio Rebalancing,Mutual Fund,1049351.69,USD,2026-08-25 04:49:09.042550,2026-08-29,Received,Request Received,Normal,Operations,2026-08-28 00:49:09.042550,,False,,,Custody System,68.0,3.8,Outside SLA,High,In Progress,1049351.69,1049351.69,Received,Received,0.0,Matched
WM00126,CLIENT0100,Asset Transfer - Internal,Equity,1495896.6,USD,2026-08-30 09:14:09.042550,2026-09-03,Settled,Settlement,Normal,Operations,2026-09-01 06:14:09.042550,2026-09-03 10:14:09.042550,False,,,Core Banking,45.0,3.62,Outside SLA,High,Completed,1495896.6,1495896.6,Settled,Settled,0.0,Matched
WM00127,CLIENT0012,Asset Transfer - Internal,Cash,680401.78,BRL,2026-09-03 03:02:09.042550,2026-09-08,Completed,Closure,Normal,Middle Office,2026-09-05 17:02:09.042550,2026-09-06 06:02:09.042550,False,,,Custody System,62.0,4.87,Outside SLA,High,Completed,680401.78,680401.78,Completed,Completed,0.0,Matched
WM00128,CLIENT0010,Asset Transfer - Internal,Fixed Income,92393.52,BRL,2026-08-18 02:58:09.042550,2026-08-22,Pending Approval,Approval,Medium,Operations,2026-08-19 19:58:09.042550,,False,,,Trading Platform,41.0,3.88,Outside SLA,High,In Progress,92393.52,92393.52,Pending Approval,Pending Settlement,0.0,Status Difference
WM00129,CLIENT0074,Asset Transfer - Internal,Mutual Fund,1732267.56,USD,2026-09-09 09:43:09.042550,2026-09-12,Settled,Settlement,Normal,Client Operations,2026-09-10 01:43:09.042550,2026-09-10 13:43:09.042550,False,,,Trading Platform,16.0,2.6,Within SLA,Low,Completed,1732267.56,1732267.56,Settled,Settled,0.0,Matched
WM00130,CLIENT0128,Portfolio Rebalancing,ETF,737857.12,USD,2026-08-26 09:10:09.042550,2026-08-30,Settled,Settlement,Normal,Operations,2026-08-28 16:10:09.042550,2026-08-29 12:10:09.042550,False,,,Core Banking,55.0,3.62,Outside SLA,High,Completed,737857.12,717989.94,Settled,Settled,19867.18,Amount Difference
WM00131,CLIENT0021,Asset Transfer - Internal,Equity,616459.23,USD,2026-09-09 03:47:09.042550,2026-09-12,Settled,Settlement,Normal,Settlement,2026-09-11 12:47:09.042550,2026-09-12 05:47:09.042550,False,,,Trading Platform,57.0,2.84,Outside SLA,High,Completed,616459.23,616459.23,Settled,Settled,0.0,Matched
WM00132,CLIENT0020,Portfolio Rebalancing,ETF,729805.71,BRL,2026-09-06 06:52:09.042550,2026-09-10,Settled,Settlement,Normal,Operations,2026-09-07 01:52:09.042550,2026-09-09 07:52:09.042550,False,,,Custody System,19.0,3.71,Within SLA,Low,Completed,729805.71,729805.71,Settled,Settled,0.0,Matched
WM00133,CLIENT0093,Asset Transfer - External,Cash,69608.72,BRL,2026-08-28 01:21:09.042550,2026-08-29,Completed,Closure,Normal,Middle Office,2026-08-30 01:21:09.042550,2026-08-30 07:21:09.042550,False,,,Trading Platform,48.0,0.94,Outside SLA,High,Completed,69608.72,69608.72,Completed,Completed,0.0,Matched
WM00134,CLIENT0081,Portfolio Rebalancing,Equity,502975.25,BRL,2026-08-16 10:21:09.042550,2026-08-21,Settled,Settlement,Normal,Operations,2026-08-17 10:21:09.042550,2026-08-19 17:21:09.042550,False,,,Trading Platform,24.0,4.57,Within SLA,Low,Completed,502975.25,502975.25,Settled,Settled,0.0,Matched
WM00135,CLIENT0055,Cash Transfer,Equity,1389491.38,USD,2026-09-12 09:20:09.042550,2026-09-15,Settled,Settlement,Normal,Settlement,2026-09-13 01:20:09.042550,2026-09-15 17:20:09.042550,False,,,Core Banking,16.0,2.61,Within SLA,Low,Completed,1389491.38,1389491.38,Settled,Settled,0.0,Matched
WM00136,CLIENT0089,Portfolio Rebalancing,Mutual Fund,1102244.31,USD,2026-08-28 04:10:09.042550,2026-09-01,Completed,Closure,Normal,Client Operations,2026-08-29 01:10:09.042550,2026-08-29 10:10:09.042550,False,,,Custody System,21.0,3.83,Within SLA,Low,Completed,,,,,0.0,Missing in External System
WM00137,CLIENT0032,Fund Redemption,Fixed Income,477288.69,USD,2026-09-05 11:24:09.042550,2026-09-08,Completed,Closure,Normal,Operations,2026-09-07 10:24:09.042550,2026-09-10 15:24:09.042550,False,,,Custody System,47.0,2.52,Outside SLA,High,Completed,477288.69,477288.69,Completed,Completed,0.0,Matched
WM00138,CLIENT0080,Asset Transfer - External,ETF,1053762.83,USD,2026-08-28 09:21:09.042550,2026-09-02,Reconciled,Reconciliation,Normal,Reconciliation,2026-08-28 19:21:09.042550,2026-08-29 11:21:09.042550,False,,,Core Banking,10.0,4.61,Within SLA,Low,Completed,1053762.83,1053762.83,Reconciled,Reconciled,0.0,Matched
WM00139,CLIENT0033,Cash Transfer,Cash,368016.46,BRL,2026-09-03 02:41:09.042550,2026-09-07,Exception,Processing,Critical,Reconciliation,2026-09-03 10:41:09.042550,,True,System Processing Error,High,Core Banking,8.0,3.89,Within SLA,Critical,Exception,368016.46,368016.46,Exception,Exception,0.0,Matched
WM00140,CLIENT0133,Asset Transfer - Internal,Mutual Fund,504957.59,USD,2026-08-23 03:23:09.042550,2026-08-26,Settled,Settlement,Normal,Settlement,2026-08-24 18:23:09.042550,2026-08-25 09:23:09.042550,False,,,Custody System,39.0,2.86,Outside SLA,High,Completed,504957.59,504957.59,Settled,Settled,0.0,Matched
WM00141,CLIENT0044,Portfolio Rebalancing,Cash,1442662.37,USD,2026-08-30 11:23:09.042550,2026-09-04,Reconciled,Reconciliation,Normal,Reconciliation,2026-08-30 17:23:09.042550,2026-09-04 14:23:09.042550,False,,,Core Banking,6.0,4.53,Within SLA,Low,Completed,1442662.37,1442662.37,Reconciled,Reconciled,0.0,Matched
WM00142,CLIENT0068,Portfolio Rebalancing,Fixed Income,1535083.21,USD,2026-09-13 12:02:09.042550,2026-09-18,Validation,Data Validation,Normal,Reconciliation,2026-09-13 16:02:09.042550,,False,,,Trading Platform,4.0,4.5,Within SLA,Low,In Progress,1535083.21,1535083.21,Validation,Validation,0.0,Matched
WM00143,CLIENT0104,Asset Transfer - Internal,ETF,150581.19,BRL,2026-08-31 05:54:09.042550,2026-09-03,Completed,Closure,Normal,Settlement,2026-09-02 14:54:09.042550,2026-09-04 09:54:09.042550,False,,,Trading Platform,57.0,2.75,Outside SLA,High,Completed,150581.19,150581.19,Completed,Completed,0.0,Matched
WM00144,CLIENT0089,Asset Transfer - External,Fixed Income,1522526.66,BRL,2026-08-20 06:51:09.042550,2026-08-22,Settled,Settlement,Normal,Client Operations,2026-08-21 13:51:09.042550,2026-08-23 12:51:09.042550,False,,,Trading Platform,31.0,1.71,Outside SLA,High,Completed,1522526.66,1522526.66,Settled,Settled,0.0,Matched
WM00145,CLIENT0013,Asset Transfer - Internal,ETF,1729006.88,USD,2026-08-28 04:22:09.042550,2026-08-29,Validation,Data Validation,Normal,Settlement,2026-08-29 01:22:09.042550,,False,,,Trading Platform,21.0,0.82,Within SLA,Low,In Progress,1729006.88,1729006.88,Validation,Validation,0.0,Matched
WM00146,CLIENT0128,Asset Transfer - Internal,ETF,51236.71,USD,2026-09-06 06:25:09.042550,2026-09-08,Exception,Processing,Critical,Settlement,2026-09-07 10:25:09.042550,,True,Duplicate Request,Critical,Custody System,28.0,1.73,Outside SLA,Critical,Exception,51236.71,51236.71,Exception,Exception,0.0,Matched
WM00147,CLIENT0121,Asset Transfer - Internal,Cash,21313.92,BRL,2026-08-15 05:44:09.042550,2026-08-20,Processing,Processing,Normal,Middle Office,2026-08-15 23:44:09.042550,,False,,,Trading Platform,18.0,4.76,Within SLA,Low,In Progress,21313.92,21313.92,Processing,Processing,0.0,Matched
WM00148,CLIENT0146,Cash Transfer,Fixed Income,728234.93,USD,2026-09-07 07:36:09.042550,2026-09-08,Completed,Closure,Normal,Operations,2026-09-09 09:36:09.042550,2026-09-11 08:36:09.042550,False,,,Custody System,50.0,0.68,Outside SLA,High,Completed,728234.93,728234.93,Completed,Completed,0.0,Matched
WM00149,CLIENT0033,Fund Purchase,ETF,749530.68,USD,2026-08-31 06:05:09.042550,2026-09-05,Settled,Settlement,Normal,Reconciliation,2026-09-02 05:05:09.042550,2026-09-05 08:05:09.042550,False,,,Core Banking,47.0,4.75,Outside SLA,High,Completed,749530.68,749530.68,Settled,Processing,0.0,Status Difference
WM00150,CLIENT0012,Fund Purchase,Fixed Income,1428615.73,USD,2026-08-30 07:45:09.042550,2026-08-31,Pending Approval,Approval,Medium,Reconciliation,2026-09-01 18:45:09.042550,,False,,,Core Banking,59.0,0.68,Outside SLA,High,In Progress,1428615.73,1428615.73,Pending Approval,Pending Approval,0.0,Matched
WM00151,CLIENT0101,Cash Transfer,Equity,1189480.69,USD,2026-08-30 03:33:09.042550,2026-09-04,Reconciled,Reconciliation,Normal,Reconciliation,2026-08-31 18:33:09.042550,2026-09-02 06:33:09.042550,False,,,Trading Platform,39.0,4.85,Outside SLA,High,Completed,1189480.69,1189480.69,Reconciled,Reconciled,0.0,Matched
WM00152,CLIENT0007,Cash Transfer,ETF,534733.22,BRL,2026-08-25 06:56:09.042550,2026-08-26,Completed,Closure,Normal,Operations,2026-08-27 20:56:09.042550,2026-08-29 11:56:09.042550,False,,,Core Banking,62.0,0.71,Outside SLA,High,Completed,534733.22,534733.22,Completed,Completed,0.0,Matched
WM00153,CLIENT0009,Cash Transfer,Mutual Fund,385614.73,USD,2026-09-06 11:02:09.042550,2026-09-10,Settled,Settlement,Normal,Client Operations,2026-09-08 17:02:09.042550,2026-09-08 15:02:09.042550,False,,,Core Banking,54.0,3.54,Outside SLA,High,Completed,385614.73,385614.73,Settled,Settled,0.0,Matched
WM00154,CLIENT0036,Cash Transfer,Fixed Income,1123969.11,USD,2026-08-20 07:45:09.042550,2026-08-25,Settled,Settlement,Normal,Reconciliation,2026-08-22 08:45:09.042550,2026-08-24 08:45:09.042550,False,,,Trading Platform,49.0,4.68,Outside SLA,High,Completed,1123969.11,1123969.11,Settled,Settled,0.0,Matched
WM00155,CLIENT0124,Fund Redemption,Fixed Income,561617.76,USD,2026-08-28 09:34:09.042550,2026-09-02,Exception,Processing,High,Client Operations,2026-08-29 22:34:09.042550,,True,Invalid Instruction,High,Custody System,37.0,4.6,Outside SLA,Critical,Exception,561617.76,561617.76,Exception,Exception,0.0,Matched
WM00156,CLIENT0090,Cash Transfer,Equity,579139.8,USD,2026-09-05 08:33:09.042550,2026-09-09,Pending Approval,Approval,Medium,Middle Office,2026-09-07 05:33:09.042550,,False,,,Core Banking,45.0,3.64,Outside SLA,High,In Progress,579139.8,579139.8,Pending Approval,Pending Approval,0.0,Matched
WM00157,CLIENT0066,Portfolio Rebalancing,ETF,431903.68,USD,2026-08-23 02:35:09.042550,2026-08-27,Processing,Processing,Normal,Reconciliation,2026-08-24 13:35:09.042550,,False,,,Core Banking,35.0,3.89,Outside SLA,High,In Progress,431903.68,431903.68,Processing,Processing,0.0,Matched
WM00158,CLIENT0013,Portfolio Rebalancing,Cash,455214.93,BRL,2026-09-06 10:28:09.042550,2026-09-08,Validation,Data Validation,Normal,Operations,2026-09-06 23:28:09.042550,,False,,,Trading Platform,13.0,1.56,Within SLA,Low,In Progress,455214.93,455214.93,Validation,Validation,0.0,Matched
WM00159,CLIENT0002,Cash Transfer,Fixed Income,816780.37,USD,2026-08-29 02:56:09.042550,2026-08-31,Processing,Processing,Normal,Middle Office,2026-08-30 04:56:09.042550,,False,,,Trading Platform,26.0,1.88,Outside SLA,High,In Progress,816780.37,816780.37,Processing,Processing,0.0,Matched
WM00160,CLIENT0147,Fund Redemption,Cash,1478679.61,BRL,2026-09-03 02:11:09.042550,2026-09-04,Processing,Processing,Normal,Settlement,2026-09-05 08:11:09.042550,,False,,,Core Banking,54.0,0.91,Outside SLA,High,In Progress,1478679.61,1478679.61,Processing,Processing,0.0,Matched
WM00161,CLIENT0010,Fund Purchase,Equity,1138083.93,BRL,2026-08-15 08:03:09.042550,2026-08-19,Exception,Processing,Critical,Client Operations,2026-08-17 19:03:09.042550,,True,Asset Position Divergence,High,Custody System,59.0,3.66,Outside SLA,Critical,Exception,1138083.93,1138083.93,Exception,Exception,0.0,Matched
WM00162,CLIENT0050,Fund Purchase,Equity,329176.05,USD,2026-08-29 04:07:09.042550,2026-09-03,Reconciled,Reconciliation,Normal,Client Operations,2026-08-30 04:07:09.042550,2026-09-02 09:07:09.042550,False,,,Core Banking,24.0,4.83,Within SLA,Low,Completed,329176.05,329176.05,Reconciled,Reconciled,0.0,Matched
WM00163,CLIENT0110,Cash Transfer,Equity,178041.85,BRL,2026-09-08 05:49:09.042550,2026-09-10,Completed,Closure,Normal,Settlement,2026-09-08 23:49:09.042550,2026-09-10 12:49:09.042550,False,,,Trading Platform,18.0,1.76,Within SLA,Low,Completed,178041.85,178041.85,Completed,Completed,0.0,Matched
WM00164,CLIENT0061,Asset Transfer - External,Equity,1908299.47,USD,2026-08-21 01:29:09.042550,2026-08-25,Processing,Processing,Normal,Reconciliation,2026-08-21 03:29:09.042550,,False,,,Trading Platform,2.0,3.94,Within SLA,Low,In Progress,1908299.47,1885081.48,Processing,Processing,23217.99,Amount Difference
WM00165,CLIENT0041,Asset Transfer - External,Cash,1846596.5,USD,2026-09-05 04:16:09.042550,2026-09-06,Completed,Closure,Normal,Operations,2026-09-06 18:16:09.042550,2026-09-09 09:16:09.042550,False,,,Trading Platform,38.0,0.82,Outside SLA,High,Completed,1846596.5,1846596.5,Completed,Completed,0.0,Matched
WM00166,CLIENT0107,Portfolio Rebalancing,Cash,1826029.79,BRL,2026-08-21 03:43:09.042550,2026-08-23,Completed,Closure,Normal,Settlement,2026-08-21 14:43:09.042550,2026-08-25 09:43:09.042550,False,,,Custody System,11.0,1.85,Within SLA,Low,Completed,1826029.79,1826029.79,Completed,Completed,0.0,Matched
